Data successfully loaded.
Epoch: [37/1000], Batch: [20/29], Loss: 2.0465, Acc: 8.7890625%
Epoch: [38/1000], Batch: [0/29], Loss: 2.0377, Acc: 10.7421875%
Epoch: [38/1000], Batch: [10/29], Loss: 2.0279, Acc: 9.5703125%
Epoch: [38/1000], Batch: [20/29], Loss: 2.0461, Acc: 8.7890625%
Epoch: [39/1000], Batch: [0/29], Loss: 2.0373, Acc: 10.7421875%
Epoch: [39/1000], Batch: [10/29], Loss: 2.0275, Acc: 9.5703125%
Epoch: [39/1000], Batch: [20/29], Loss: 2.0458, Acc: 8.7890625%
Epoch: [40/1000], Batch: [0/29], Loss: 2.0370, Acc: 10.7421875%
Epoch: [40/1000], Batch: [10/29], Loss: 2.0272, Acc: 9.5703125%
Epoch: [40/1000], Batch: [20/29], Loss: 2.0455, Acc: 8.7890625%
Epoch: [41/1000], Batch: [0/29], Loss: 2.0367, Acc: 10.7421875%
Epoch: [41/1000], Batch: [10/29], Loss: 2.0270, Acc: 9.5703125%
Epoch: [41/1000], Batch: [20/29], Loss: 2.0452, Acc: 8.7890625%
Epoch: [42/1000], Batch: [0/29], Loss: 2.0364, Acc: 10.7421875%
Epoch: [42/1000], Batch: [10/29], Loss: 2.0267, Acc: 9.5703125%
Epoch: [42/1000], Batch: [20/29], Loss: 2.0450, Acc: 8.7890625%
Epoch: [43/1000], Batch: [0/29], Loss: 2.0361, Acc: 10.7421875%
Epoch: [43/1000], Batch: [10/29], Loss: 2.0265, Acc: 9.5703125%
Epoch: [43/1000], Batch: [20/29], Loss: 2.0447, Acc: 8.7890625%
Epoch: [44/1000], Batch: [0/29], Loss: 2.0358, Acc: 10.7421875%
Epoch: [44/1000], Batch: [10/29], Loss: 2.0262, Acc: 9.5703125%
Epoch: [44/1000], Batch: [20/29], Loss: 2.0445, Acc: 8.7890625%
Epoch: [45/1000], Batch: [0/29], Loss: 2.0355, Acc: 10.7421875%
Epoch: [45/1000], Batch: [10/29], Loss: 2.0260, Acc: 9.5703125%
Epoch: [45/1000], Batch: [20/29], Loss: 2.0442, Acc: 8.7890625%
Epoch: [46/1000], Batch: [0/29], Loss: 2.0352, Acc: 10.7421875%
Epoch: [46/1000], Batch: [10/29], Loss: 2.0258, Acc: 9.5703125%
Epoch: [46/1000], Batch: [20/29], Loss: 2.0440, Acc: 8.7890625%
Epoch: [47/1000], Batch: [0/29], Loss: 2.0349, Acc: 10.7421875%
Epoch: [47/1000], Batch: [10/29], Loss: 2.0256, Acc: 9.5703125%
Epoch: [47/1000], Batch: [20/29], Loss: 2.0438, Acc: 8.7890625%
Epoch: [48/1000], Batch: [0/29], Loss: 2.0346, Acc: 10.7421875%
Epoch: [48/1000], Batch: [10/29], Loss: 2.0254, Acc: 9.5703125%
Epoch: [48/1000], Batch: [20/29], Loss: 2.0436, Acc: 8.7890625%
Epoch: [49/1000], Batch: [0/29], Loss: 2.0344, Acc: 10.7421875%
Epoch: [49/1000], Batch: [10/29], Loss: 2.0253, Acc: 9.5703125%
Epoch: [49/1000], Batch: [20/29], Loss: 2.0433, Acc: 8.7890625%
Epoch: [50/1000], Batch: [0/29], Loss: 2.0341, Acc: 10.7421875%
Epoch: [50/1000], Batch: [10/29], Loss: 2.0251, Acc: 9.5703125%
Epoch: [50/1000], Batch: [20/29], Loss: 2.0431, Acc: 8.7890625%
Epoch: [51/1000], Batch: [0/29], Loss: 2.0339, Acc: 10.7421875%
Epoch: [51/1000], Batch: [10/29], Loss: 2.0249, Acc: 9.5703125%
Epoch: [51/1000], Batch: [20/29], Loss: 2.0429, Acc: 8.7890625%
Epoch: [52/1000], Batch: [0/29], Loss: 2.0336, Acc: 10.7421875%
Epoch: [52/1000], Batch: [10/29], Loss: 2.0248, Acc: 9.5703125%
Epoch: [52/1000], Batch: [20/29], Loss: 2.0427, Acc: 8.7890625%
Epoch: [53/1000], Batch: [0/29], Loss: 2.0334, Acc: 10.7421875%
Epoch: [53/1000], Batch: [10/29], Loss: 2.0246, Acc: 9.5703125%
Epoch: [53/1000], Batch: [20/29], Loss: 2.0425, Acc: 8.7890625%
Epoch: [54/1000], Batch: [0/29], Loss: 2.0331, Acc: 10.7421875%
Epoch: [54/1000], Batch: [10/29], Loss: 2.0244, Acc: 9.5703125%
Epoch: [54/1000], Batch: [20/29], Loss: 2.0423, Acc: 8.7890625%
Epoch: [55/1000], Batch: [0/29], Loss: 2.0329, Acc: 10.7421875%
Epoch: [55/1000], Batch: [10/29], Loss: 2.0243, Acc: 9.5703125%
Epoch: [55/1000], Batch: [20/29], Loss: 2.0420, Acc: 8.7890625%
Epoch: [56/1000], Batch: [0/29], Loss: 2.0326, Acc: 10.7421875%
Epoch: [56/1000], Batch: [10/29], Loss: 2.0241, Acc: 9.5703125%
Epoch: [56/1000], Batch: [20/29], Loss: 2.0418, Acc: 8.7890625%
Epoch: [57/1000], Batch: [0/29], Loss: 2.0324, Acc: 10.7421875%
